date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2023-03-22,137.19,54421687769.55,396688445,66.84214384,51.34290936,69.82891998081851
2023-03-23,134.24,53251456856.8,396688445,65.40483555,50.23888149,68.32738696862073
2023-03-24,135.85,53890125253.25,396688445,66.18926482,50.84141873,69.14686769731172
2023-03-27,137.08,54378052040.6,396688445,66.7885493,51.30174222,69.77293061426198
2023-03-28,133.3,52878569718.5,396688445,64.94684579,49.88708956,67.84893238168313
2023-03-29,133.3,52878569718.5,396688445,64.94684579,49.88708956,67.84893238168313
2023-03-30,134.15,53215754896.75,396688445,65.36098547,50.20519929,68.28157748689266
2023-03-31,133.58,52989642483.1,396688445,65.08326827,49.99187865,111.43617754060998
2023-04-03,134.1,53195920474.5,396688445,65.33662431,50.18648695,111.86997610567299
2023-04-04,130.3,51688504383.5,396688445,63.48517634,48.76434936,108.69990966867405
2023-04-06,130.18,51640901770.1,396688445,63.42670957,48.71943975,108.59980230750567
2023-04-07,127.58,50609511813.1,396688445,62.15992938,47.74639825,106.4308094821906
2023-04-10,129.54,51387021165.3,396688445,63.11488675,48.47992185,108.06589638127427
2023-04-11,129.0,51172809405.0,396688445,62.85178625,48.27782861,107.61541325601652
2023-04-12,125.4,49744731003.0,396688445,61.09778291,46.93054037,104.6121924209649
2023-04-13,125.1,49625724469.5,396688445,60.95161597,46.81826635,104.36192401804394
2023-04-14,124.68,49459115322.6,396688445,60.74698225,46.66108272,104.01154825395457
2023-04-17,125.69,49859770652.05,396688445,61.23907763,47.03907192,104.85411854378852
2023-04-18,127.9,50736452115.5,396688445,62.31584079,47.8661572,106.69776244530631
2023-04-19,125.02,49593989393.9,396688445,60.91263812,46.78832661,104.295185777265
2023-04-20,122.05,48415824712.25,396688445,59.46558536,45.67681381,101.81752858834741
2023-04-21,119.18,47277328875.1,396688445,58.06725493,44.60272569,99.42329420040348
2023-04-24,117.55,46630726709.75,396688445,57.27308119,43.99270351,98.06350254453288
2023-04-25,111.34,44167291466.3,396688445,36.20746062,41.6686313,92.88294660406885
2023-04-26,123.49,48987056073.05,396688445,40.15860707,46.21572911,103.01881692236807
2023-04-27,119.62,47451871790.9,396688445,38.90009376,44.76739425,99.79035452468757
2023-04-28,113.8,45143145041.0,396688445,37.00744582,42.58927826,94.93514750802078
2023-05-04,114.61,45464462681.45,396688445,37.27085559,42.89241812,95.61087219590739
2023-05-05,111.8,44349768151.0,396688445,36.35705135,41.84078479,93.26669148854765
2023-05-08,111.18,44103821315.1,396688445,36.15542906,41.60875182,92.74947012251098
2023-05-09,109.11,43282676233.95,396688445,35.48227077,40.83406108,91.0226181423563
2023-05-10,110.0,43635728950.0,396688445,35.77169632,41.16714067,91.76508107102184
2023-05-11,109.52,43445318496.4,396688445,35.61560164,40.98750224,91.36465162634829
2023-05-12,107.05,42465498037.25,396688445,34.81236446,40.06311281,89.30410844229898
2023-05-15,111.53,44242662270.85,396688445,36.26924809,41.73973818,93.04144992591878
2023-05-16,112.13,44480675337.85,396688445,36.46436643,41.96428622,93.54198673176072
2023-05-17,110.83,43964980359.35,396688445,36.04161002,41.47776546,92.45749031910319
2023-05-18,108.18,42913755980.1,396688445,35.17983734,40.48601162,90.2467860933013
2023-05-19,107.21,42528968188.45,396688445,34.86439602,40.12299229,89.43758492385683
2023-05-22,106.57,42275087583.65,396688445,34.65626978,39.88347438,88.90367899762543
2023-05-23,105.52,41858564716.4,396688445,34.31481268,39.49051531,88.02773958740205
2023-05-24,106.93,42417895423.85,396688445,34.77334079,40.0182032,89.2040010811306
2023-05-25,109.82,43564325029.9,396688445,35.71316081,41.09977626,91.61492002926927
2023-05-26,105.11,41695922453.95,396688445,34.18148182,39.33707415,87.68570610341004
2023-05-29,102.52,40668499381.4,396688445,33.33922097,38.36777511,85.52505555819236
2023-05-30,101.59,40299579127.55,396688445,33.03678753,38.01972565,84.74922350913737
2023-05-31,99.81,39593473695.45,396688445,32.45793645,37.35356646,83.26429765180627
2023-06-01,99.66,39533970428.7,396688445,32.40915686,37.29742945,83.13916345034578
2023-06-02,101.39,40220241438.55,396688445,32.97174809,37.9448763,84.58237790719005
2023-06-05,98.51,39077778716.95,396688445,32.03518004,36.86704571,82.17980123914873
2023-06-06,97.68,38748527307.6,396688445,31.76526633,36.55642092,81.4873919910674
2023-06-07,95.74,37978951724.3,396688445,31.13438368,35.83038226,79.86898965217847
2023-06-08,94.48,37479124283.6,396688445,30.72463516,35.35883137,78.8178623599104
2023-06-09,95.25,37784574386.25,396688445,30.97503704,35.64700136,79.46021792740756
2023-06-12,97.1,38518448009.5,396688445,31.57665193,36.33935781,81.00353974542018
2023-06-13,97.45,38657288965.25,396688445,31.69047096,36.47034417,81.29551954882798
2023-06-14,95.0,37685402275.0,396688445,30.89373773,35.55343967,79.25166092497341
2023-06-15,101.5,40263877167.5,396688445,33.00751978,37.98604344,84.67414298826107
2023-06-16,104.66,41517412653.7,396688445,34.03514306,39.16866312,87.31030349902859
2023-06-19,104.52,41461876271.4,396688445,33.98961544,39.11626858,87.19351157766549
2023-06-20,104.25,41354770391.25,396688445,33.90181219,39.01522196,86.96827001503661
2023-06-21,101.9,40422552545.5,396688445,33.13759868,38.13574213,85.00783419215568
2023-06-26,104.27,41362704160.15,396688445,33.90831613,39.02270689,86.98495457523134
2023-06-27,103.3,40977916368.5,396688445,33.59287481,38.65968756,86.17575340578688
2023-06-28,102.26,40565360385.7,396688445,33.25466968,38.27047096,85.30815627566085
2023-06-29,99.89,39625208771.05,396688445,32.48395223,37.3835062,83.3310358925852
